userName,content,score,thumbsUpCount,at
Pengguna Google,"Kenapa pas dulu sebelum aku update aku minta ke ai buat bikin cerita yang aku deskripsikan fine fine aja. Tapi kenapa setelah di-update kok jadi ngeselin yah. Aku udah isi prompt nama karakter, plot dan jalan cerita terus terakhir bab. Dan masalahnya babnya itu berulang ulang terus, misalnya bab satu selesai, aku kirim next bukannya lanjut bab 2 tapi malah ngulang bab 1 lagi. Ini aku nyoba berbagai judul cerita tetep aja sama, aku capek banget 😭 Tolong dong diperbaiki lagi bug sistemnya.",3,34,2025-03-29 16:51:02
Pengguna Google,"Aplikasi ChatGPT ini benar-benar luar biasa! Responnya cepat, akurat, dan sangat membantu dalam berbagai topik. Fitur percakapannya juga asik dan bikin interaksi terasa lebih alami. Tapi ada satu hal yang perlu diperbaiki, yaitu fitur ngobrol pakai suara. Suaranya kurang jelas, kadang suaranya kayak tidak pakai bahasa indonesia,dan kecepetan suaranya. Semoga ke depannya bisa lebih natural dan lancar. Terima kasih OpenAI, tetap tingkatkan terus.⭐⭐⭐⭐⭐👍",5,434,2025-03-17 03:52:56
Pengguna Google,"aplikasinya udah bagus bangett bahkan terlalu sempurna disini valid 100% akurat, tapi cuma 2 masalahnya. Pertama, harusnya sediakan analisis video juga lewat ai entah YouTube,shorts video, reels dll. Dan yg Kedua, mengirim file tidak bisa berkapasitas tinggi harus rendah contoh : saya mengirim file 20 mb harus di Kompress jadi 3 mb jadi tolong di perbaiki lagi itu saja si kendala nya",5,125,2025-03-29 12:41:19
Pengguna Google,"Sistem nya menjadi error dan tombol ""Pembuat Ulang"" nya juga hilang. Padahal yang sebelumnya sudah bagus dan nyaman, tapi setelah di update malah tidak bisa digunakan seperti dulu lagi aplikasinya. Tolong jika ada pembaruan, jangan hilang kan fitur yang sudah ada untuk kedepannya 🙏",4,5,2025-03-29 17:08:47
Pengguna Google,"Hallo gays menurut pribadiku ya, nih apk bagus, bisa ngobrol, cari informasi, dan buat cerita, tapi kenapa aku kasih bintang tiga? itu karena apk ini sedikit menjengkelkan, di bagian ingatan AI, kadang meski sudah di cantumkan dalam ingatan Al seakan-akan AI itu lupa. Contohnya ""Aku ingin kau ingat teksnya lebih panjang"" nah, di bagian itu teks bukannya tambah panjang malah tambah dikit, menjengkelkan, masa iya setiap dia lupa katanya harus di ingatkan? Semoga aja developernya memperbaikinya 😐",3,37,2025-03-19 21:49:14
Pengguna Google,"ini setelah di upgrade ai nya katany error mulu?? knp y? trs jawabannya ga sesuai lgi, tolong dong developer nya perbaiki 1. kata ai nya sistem error (diperbaiki lg biar ga error trs) 2. jawabannya ga sesuai yg kita inginkan (perbaiki biar sesuai yg kita inginkan) 3. foto/video limit/ ga dilihat. MOHON YA DIPERBAIKI LAGI!! JANGAN SAMPAI LUPA!! TERIMAKASIH.",1,66,2025-03-23 15:31:14
Pengguna Google,"aplikasi ini sangat membantu kita untuk menyelesaikan masalah sehari hari, seperti dalam hal pembelajaran, tips atau rekomendasi, bahkan diajak cerita juga bisa kita bisa menyimpan obrolan sehingga chat kita tdk hilang, chatgpt juga bisa menyimpan memori yaitu bisa meningat nama pengguna, ulang tahun, dll untuk masukannya adalah jawaban dlm menyelesaikan tugas sekolah harus lebih diakuratkan, karena kdg hasilnya selalu berubah dan tdk akurat",4,5,2025-03-29 01:07:25
Pengguna Google,"lucu sih yang ciptain apk ini gomawo, aku very happy ada tapi nya kalau edit foto ke anime, ghibli, pixar, dll hanya punya 2x pemakaian jadi kalau mau edit foto lagi nunggu sehari tapi gapapa worth it dengan hasil edit fotonya terimakasih, ily",5,30,2025-04-02 04:29:08
Pengguna Google,"setelah beli plus, chat malah sering ilang sendiri dari awal, awalnya niat untuk ngapus chat yg baru kekirim, tapi tiba-tiba malah ke APUS chat yg dari awal. ngebuat, itu pesan semua dari ulang lagi tanpa bisa diperbaiki. kalo misalnya chatnya udh nyampe batas kata, kalo nyoba ulang lagi, itu bakal ada pemberitahuan sampai batas lagi, dan terus balik ke yg awal lagi, menghilangkan chat baru yg diulang nya. suka banget ilangin chat yg udh panjang.",1,41,2025-03-18 10:20:20
Pengguna Google,"soo aku kasih bintang 5,kalo ada 10 aku kasih 10,karna ini apk baguss bettt gilaaa, buat ngerjain soal, buat temen curhat, apapun itu kalo bales cepettt, apalagi kalo kasi slusi behh bantu bngtt, bahasa nya juga seru bisa gaul, bisa nyimpen memori kita, pokoknya besttt, kalo bisa kasih gitu yang lebih lagi buat chatgpt!!!! 🐥",5,0,2025-04-01 14:30:37
